,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,geo_input,address_candidates
285,Elizabeth Stone House - Washington Westminster,Roxbury,2119,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,,,Elizabeth Stone House - Washington Westminster Roxbury,"['3012 Washington St, Roxbury, MA 02119, United States', '8 Notre Dame St, Roxbury, MA 02119, United States']"
286,Elm Hill/Seaver St Conversion,Roxbury,2121,18,18,0,15.0,15.0,0.0,3,3,0.0,Rental,Private,,,Elm Hill/Seaver St Conversion Roxbury,"['Boston, MA 02121, United States']"
287,Elven Road,Roslindale,2131,8,3,5,0.0,0.0,0.0,8,3,5.0,Ownership/Rental,Private,,,Elven Road Roslindale,"['Elven Rd, Boston, MA 02131, USA']"
288,Emerson Place - Charles River Park,West End,2114,320,320,0,284.0,284.0,0.0,36,36,0.0,Rental,Private,,,Emerson Place - Charles River Park West End,"['1 Emerson Pl Apt 8N, Boston, MA 02114, United States']"
289,Epps (VUP),Dorchester,2121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Epps (VUP) Dorchester,"['748A Adams St, Boston, MA 02122, United States']"
290,Erie-Ellington Homes,Dorchester,2121,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Private,,,Erie-Ellington Homes Dorchester,"['31 Erie St, Boston, MA 02121, United States']"
291,Esperanza Walnut,Roxbury,2119,42,42,0,0.0,0.0,0.0,42,42,0.0,Rental,Private,,Y,Esperanza Walnut Roxbury,"['80-84 Walnut Ave, Boston, MA 02119, United States']"
292,ETC Associates,South End,2118,71,71,0,0.0,0.0,0.0,71,71,0.0,Rental,Private,,Y,ETC Associates South End,"['500 Harrison Ave #4f, Boston, MA 02118, United States']"
293,Eutaw/Meridian,East Boston,2128,1,0,1,0.0,0.0,0.0,1,0,1.0,Rental,Private,,,Eutaw/Meridian East Boston,"['Eutaw St & Meridian St, Boston, MA 02128, USA']"
294,Eva White (2-41),South End,2116,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Public,Y,,Eva White (2-41) South End,[]
295,Factory 63,South Boston Waterfront,2127,62,62,0,51.0,51.0,0.0,11,11,0.0,Rental,Private,,,Factory 63 South Boston Waterfront,"['63 Melcher St, Boston, MA 02210, United States']"
296,Fairfield Properties,Roxbury,2119,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,,Fairfield Properties Roxbury,"['219 Newbury St, Boston, MA 02116, United States']"
297,Fairmount/Garfield (200-5),Hyde Park,2136,202,202,0,0.0,0.0,0.0,202,202,0.0,Rental,Public,,,Fairmount/Garfield (200-5) Hyde Park,[]
298,Fan Pier Parcel C,South Boston Waterfront,2110,108,0,108,106.0,0.0,106.0,2,0,2.0,Ownership,Private,,,Fan Pier Parcel C South Boston Waterfront,"['10 Fan Pier Boulevard Mailbox #26, Boston, MA 02210, United States']"
299,Fan Pier Parcel D,South Boston Waterfront,2210,120,0,120,116.0,0.0,116.0,4,0,4.0,Ownership,Private,,,Fan Pier Parcel D South Boston Waterfront,"['1 Courthouse Way, Boston, MA 02210, United States']"
300,Faneuil/ N. Beacon (200-4),Brighton,2135,256,256,0,0.0,0.0,0.0,256,256,0.0,Rental,Public,,,Faneuil/ N. Beacon (200-4) Brighton,"['200 N Beacon St, Boston, MA 02135, USA']"
301,Farnsworth House,Jamaica Plain,2130,76,76,0,1.0,1.0,,75,75,0.0,Rental,Private,Y,Y,Farnsworth House Jamaica Plain,"['90 South St, Jamaica Plain, MA 02130, United States']"
302,Father Walter J Martin Cooperative Homes,South Boston,2127,34,34,0,0.0,0.0,0.0,34,34,0.0,Rental,Private,,,Father Walter J Martin Cooperative Homes South Boston,[]
303,FDIC Scattered Site Condo Project,Brighton,2135,9,4,5,0.0,0.0,0.0,9,4,5.0,Ownership/Rental,Private,,,FDIC Scattered Site Condo Project Brighton,"['214 Market St, Brighton, MA 02135, United States']"
304,Fensgate Coop,Fenway,2115,46,46,0,0.0,0.0,0.0,46,46,0.0,Cooperative,Private,,,Fensgate Coop Fenway,"['70 Burbank St, Boston, MA 02115, United States']"
305,Fenway Center Phase 1/Buildings 1 & 2,Fenway,2215,316,316,0,289.0,289.0,0.0,27,27,0.0,Rental,Private,,,Fenway Center Phase 1/Buildings 1 & 2 Fenway,"['Fenway Center, 77 St Stephen St, Boston, MA 02115, USA']"
306,Fenway Condominiums,Fenway,2115,55,55,0,33.0,33.0,0.0,22,22,0.0,Rental,Private,,,Fenway Condominiums Fenway,"['108 Peterborough St, Boston, MA 02215, United States']"
307,Fenway Condos,Fenway,2215,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,Fenway Condos Fenway,"['108 Peterborough St, Boston, MA 02215, United States']"
308,Fenwick Gardens - Home Again,Dorchester,2125,15,1,14,0.0,0.0,0.0,15,1,14.0,Ownership/Rental,Private,,,Fenwick Gardens - Home Again Dorchester,"['5 Savin Hill Ave, Boston, MA 02125, United States']"
309,Fernald State School (689-?),Dorchester,2125,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Public,,,Fernald State School (689-?) Dorchester,[]
310,Fieldstone Apartments,Dorchester,2124,84,84,0,0.0,0.0,0.0,84,84,0.0,Rental,Private,,Y,Fieldstone Apartments Dorchester,"['907 Blue Hill Avenue # 13, Dorchester Center, MA 02124, United States']"
311,First & First (Phase I & II),South Boston,2127,47,0,47,20.0,0.0,20.0,27,0,27.0,Ownership,Private,,,First & First (Phase I & II) South Boston,"['100 Talcott Ave, Watertown, MA 02472, United States']"
312,Florence Apartments,Roslindale,2131,138,138,0,3.0,3.0,0.0,135,135,0.0,Rental,Private,,Y,Florence Apartments Roslindale,"['132 Fawndale Rd, Roslindale, MA 02131, United States']"
313,Foley (William J) Apts (2-30),South Boston,2127,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Public,Y,,Foley (William J) Apts (2-30) South Boston,[]
314,Forbes Building,Jamaica Plain,2130,147,147,0,0.0,0.0,0.0,147,147,0.0,Rental,Private,Y,Y,Forbes Building Jamaica Plain,"['545 Centre St, Jamaica Plain, MA 02130, United States']"
315,Forbes Street Residences,Jamaica Plain,2130,35,0,35,29.0,0.0,29.0,6,0,6.0,Ownership,Private,,,Forbes Street Residences Jamaica Plain,"['545 Centre St, Jamaica Plain, MA 02130, United States']"
316,Ford (VUP),Mattapan,2126,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,Ford (VUP) Mattapan,"['540 Southern Artery, Quincy, MA 02169, United States', '625 Pleasant St, Watertown, MA 02472, United States']"
317,Forecaster Building,West End,2114,80,0,80,73.0,0.0,73.0,7,0,7.0,Ownership,Private,,,Forecaster Building West End,"['121 Portland St, Boston, MA 02114, United States']"
318,Forest Glenn Coop,Jamaica Plain,2130,13,13,0,0.0,0.0,0.0,13,13,0.0,Cooperative,Private,,,Forest Glenn Coop Jamaica Plain,"['106 Forest Hills St, Jamaica Plain, MA 02130, United States']"
319,Forest Hills Apts,Jamaica Plain,2130,108,108,0,9.0,9.0,0.0,99,99,0.0,Rental,Private,Y,Y,Forest Hills Apts Jamaica Plain,"['199 Forest Hills St, Boston, MA 02130, United States']"
320,Forest Hills Cooperative,Jamaica Plain,2130,87,87,0,0.0,0.0,0.0,87,87,0.0,Cooperative,Private,Y,Y,Forest Hills Cooperative Jamaica Plain,"['199 Forest Hills St, Boston, MA 02130, United States']"
321,Forest|Vine NHI 1,Roxbury,2119,5,2,3,0.0,0.0,0.0,5,2,3.0,Ownership/Rental,Private,,,Forest|Vine NHI 1 Roxbury,[]
322,Forest|Vine NHI 2,Roxbury,2119,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,Forest|Vine NHI 2 Roxbury,[]
323,Fort Hill Gardens,Roxbury,2119,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,,Y,Fort Hill Gardens Roxbury,"['Fort Ave, Boston, MA 02119, USA']"
324,Fort Point Place,South Boston Waterfront,2210,117,0,117,103.0,0.0,103.0,14,0,14.0,Ownership,Private,,,Fort Point Place South Boston Waterfront,"['Fort Point, Boston, MA, USA']"
325,Foster (VUP),Roxbury,2121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Foster (VUP) Roxbury,"['316 Huntington Ave, Boston, MA 02115, United States']"
326,Fountain Hill,Roxbury,2119,46,0,46,26.0,0.0,26.0,20,0,20.0,Ownership,Private,,,Fountain Hill Roxbury,"['Fountain St, Boston, MA 02119, USA']"
327,Four Corners/Washington,Dorchester,2121,35,35,0,0.0,0.0,0.0,35,35,0.0,Rental,Private,,,Four Corners/Washington Dorchester,"['355 Washington St, Dorchester Center, MA 02124, United States']"
328,Fox Hall,Dorchester,2125,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,Fox Hall Dorchester,"['537 2nd St, Everett, MA 02149, United States']"
329,"Franklin Field Family (2-89A,90-93)",Dorchester,2124,346,346,0,0.0,0.0,0.0,346,346,0.0,Rental,Public,Y,,"Franklin Field Family (2-89A,90-93) Dorchester",[]
330,Franklin Field South/Highland Pk Estates,Dorchester,2124,22,4,18,0.0,0.0,0.0,22,4,18.0,Ownership/Rental,Private,,,Franklin Field South/Highland Pk Estates Dorchester,"['Franklin Field South, Boston, MA, USA', '278 Humboldt Ave, Dorchester, MA 02121, United States', '1 Shandon Rd, Dorchester Center, MA 02124, United States']"
331,Franklin Fld South II - HOME AGAIN,Dorchester,2124,23,1,22,0.0,0.0,0.0,23,1,22.0,Ownership/Rental,Private,,,Franklin Fld South II - HOME AGAIN Dorchester,"['91 Ames St, Dorchester, MA 02124, United States', '1 Shandon Rd, Dorchester Center, MA 02124, United States']"
332,Franklin Hill (2-9),Dorchester,2124,365,365,0,0.0,0.0,0.0,365,365,0.0,Rental,Private,,,Franklin Hill (2-9) Dorchester,"['2 Franklin Hill Ave, Boston, MA 02124, USA']"
333,Franklin Park Apts,Dorchester,2121,220,220,0,0.0,0.0,0.0,220,220,0.0,Rental,Private,,Y,Franklin Park Apts Dorchester,"['132 Seaver St #1527, Boston, MA 02121, United States']"
334,Franklin Park I,Roxbury,2121,270,270,0,0.0,0.0,0.0,270,270,0.0,Rental,Private,,Y,Franklin Park I Roxbury,"['Franklin Park Rd, Boston, MA, USA']"
335,Franklin Park II,Roxbury,2121,136,136,0,0.0,0.0,0.0,136,136,0.0,Rental,Private,,,Franklin Park II Roxbury,"['1 Franklin Park Rd, Boston, MA 02121, United States']"
336,Franklin Square House,South End,2118,193,193,0,0.0,0.0,0.0,193,193,0.0,Rental,Private,Y,Y,Franklin Square House South End,"['11 E Newton St, Boston, MA 02118, United States']"
337,Frederick Douglass (2-44A),South End,2118,76,76,0,0.0,0.0,0.0,76,76,0.0,Rental,Public,Y,,Frederick Douglass (2-44A) South End,"['755 Tremont St, Boston, MA 02118, United States']"
338,Friend's House,Jamaica Plain,2130,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,Friend's House Jamaica Plain,"['12 Wise St, Boston, MA 02130, United States']"
339,Fulton Court Condominium,North End,2109,67,0,67,61.0,0.0,61.0,6,0,6.0,Ownership,Private,,,Fulton Court Condominium North End,"['100 Fulton St #1m, Boston, MA 02109, United States']"
340,Gallivan Boulevard (200-10),Mattapan,2126,251,251,0,0.0,0.0,0.0,251,251,0.0,Rental,Public,,,Gallivan Boulevard (200-10) Mattapan,"['200 Gallivan Blvd, Boston, MA 02124, USA']"
341,Gardner Crawford Thane,Roxbury,2119,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,Y,Gardner Crawford Thane Roxbury,"['270 Roxbury St, Roxbury, MA 02119, United States']"
342,Gardner Flats Condominium,Allston,2134,14,0,14,12.0,0.0,12.0,2,0,2.0,Ownership,Private,,,Gardner Flats Condominium Allston,"['9 Gardner St, Allston, MA 02134, United States', '88 Gardner St, Allston, MA 02134, United States']"
343,"GARDNER, CRAWFORD, THANE",Roxbury,2119,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Private,,,"GARDNER, CRAWFORD, THANE Roxbury","['270 Roxbury St, Roxbury, MA 02119, United States']"
344,Garrison Trotter Phase I - HOME AGAIN,Roxbury,2121,18,2,16,6.0,0.0,6.0,12,2,10.0,Ownership/Rental,Private,,,Garrison Trotter Phase I - HOME AGAIN Roxbury,"['225-227 Harold St, Dorchester, MA 02121, United States', '2044 Columbus Ave, Boston, MA 02119, United States']"
345,Gatehouse 75,Charlestown,2129,99,99,0,87.0,87.0,0.0,12,12,0.0,Rental,Private,,,Gatehouse 75 Charlestown,"['75 W School St, Charlestown, MA 02129, United States']"
346,Gatehouse Units,South End,2118,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,Gatehouse Units South End,"['75 W School St, Charlestown, MA 02129, United States', '674 Boylston St UNIT 504, Brookline, MA 02445, United States']"
347,Gateway Terrace - Dover Residences,South End,2119,133,0,133,120.0,0.0,120.0,13,0,13.0,Ownership,Private,,,Gateway Terrace - Dover Residences South End,"['40 Fay St H-601, Boston, MA 02118, United States']"
348,General Heath Square,Jamaica Plain,2130,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,,,General Heath Square Jamaica Plain,"['61 Heath St, Jamaica Plain, MA 02130, United States']"
349,General Warren Apts (2-47),Charlestown,2129,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Public,Y,,General Warren Apts (2-47) Charlestown,"['47 N Washington St #26, Charlestown, MA 02129, United States']"
350,Geneva Apartments,Dorchester,2121,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,,Y,Geneva Apartments Dorchester,"['231 Geneva Ave, Boston, MA 02121, United States']"
351,Geneva Ave 202 - Pine Street,Dorchester,2121,11,11,0,1.0,1.0,0.0,10,10,0.0,Rental,Private,Y,,Geneva Ave 202 - Pine Street Dorchester,"['124 Park St, Boston, MA 02122, United States', '444 Harrison Ave, Boston, MA 02118, United States']"
352,Geneva Avenue Elderly Housing,Dorchester,2121,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,Y,,Geneva Avenue Elderly Housing Dorchester,"['22 Beechwood St, Dorchester, MA 02121, United States']"
353,Georgetowne Housing I,West Roxbury,2136,601,601,0,56.0,56.0,0.0,545,545,0.0,Rental,Private,,,Georgetowne Housing I West Roxbury,"['400 Georgetowne Dr, Hyde Park, MA 02136, United States']"
354,Georgetowne Housing II,West Roxbury,2136,366,366,0,0.0,0.0,0.0,366,366,0.0,Rental,Private,,,Georgetowne Housing II West Roxbury,"['400 Georgetowne Dr, Hyde Park, MA 02136, United States']"
355,Gleason Street MIHI Package 2,Dorchester,2121,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,Gleason Street MIHI Package 2 Dorchester,"['Ferndale St, Boston, MA 02124, United States']"
356,Glenville Apartments,Allston,2134,117,117,0,0.0,0.0,0.0,117,117,0.0,Rental,Private,,Y,Glenville Apartments Allston,"['1285 Commonwealth Ave, Allston, MA 02134, United States']"
357,Glenway|Roxton NHI,Dorchester,2121,6,3,3,0.0,0.0,0.0,6,3,3.0,Ownership/Rental,Private,,,Glenway|Roxton NHI Dorchester,[]
358,Goddard House,Jamaica Plain,2115,149,149,0,130.0,130.0,0.0,19,19,0.0,Rental,Private,,,Goddard House Jamaica Plain,"['165 Chestnut St, Brookline, MA 02445, United States']"
359,Gomes (VUP),Dorchester,2124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,Gomes (VUP) Dorchester,"['63 Hecla St, Dorchester, MA 02122, United States']"
360,Goodale Rd. - HOME AGAIN,Mattapan,2126,10,5,5,0.0,0.0,0.0,10,5,5.0,Ownership/Rental,Private,,,Goodale Rd. - HOME AGAIN Mattapan,"['1299 Blue Hill Avenue, Boston, MA 02126, United States']"
361,Gordon's Wood,West Roxbury,2132,42,0,42,37.0,0.0,37.0,5,0,5.0,Ownership,Private,,,Gordon's Wood West Roxbury,"['47 Overlook Rd, West Roxbury, MA 02132, United States']"
362,Governor Apartments,Brighton,2134,87,87,0,0.0,0.0,0.0,87,87,0.0,Rental,Private,Y,Y,Governor Apartments Brighton,"['209 Kelton St, Allston, MA 02134, United States']"
363,Grand families,Dorchester,2124,27,27,0,1.0,1.0,0.0,26,26,0.0,Rental,Private,,,Grand families Dorchester,"['133 Dorchester St, Boston, MA 02127, United States']"
364,Granite 1B:VBC Apts.-Blue Hill,Roxbury,2121,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,Y,Granite 1B:VBC Apts.-Blue Hill Roxbury,"['Blue Hill Avenue, Boston, MA, USA']"
365,Granite 3-Blue Hill,Roxbury,2121,148,148,0,0.0,0.0,0.0,148,148,0.0,Rental,Private,,Y,Granite 3-Blue Hill Roxbury,"['754 Blue Hill Avenue, Dorchester, MA 02121, United States']"
366,Granite 4B,Roxbury,2121,141,141,0,0.0,0.0,0.0,141,141,0.0,Rental,Private,,Y,Granite 4B Roxbury,"['4 Roxbury Ct, Granite City, IL 62040, USA']"
367,Granite-Dorchester Bay,Dorchester,2125,134,134,0,0.0,0.0,0.0,134,134,0.0,Rental,Private,,Y,Granite-Dorchester Bay Dorchester,"['754 Blue Hill Avenue, Dorchester, MA 02121, United States']"
368,Granite-Fields Corner,Dorchester,2121,67,67,0,0.0,0.0,0.0,67,67,0.0,Rental,Private,,Y,Granite-Fields Corner Dorchester,"['Fields Corner, Boston, MA 02122, USA']"
369,Granite-La Concha/Nuestra,Roxbury,2119,97,97,0,0.0,0.0,0.0,97,97,0.0,Rental,Private,,Y,Granite-La Concha/Nuestra Roxbury,"['56 Warren St, Boston, MA 02119, United States']"
370,Granite-Lena Park,Dorchester,2121,143,143,0,0.0,0.0,0.0,143,143,0.0,Rental,Private,,Y,Granite-Lena Park Dorchester,"['754 Blue Hill Avenue, Dorchester, MA 02121, United States']"
371,Granite-Quincy-Geneva,Dorchester,2121,94,94,0,0.0,0.0,0.0,94,94,0.0,Rental,Private,,Y,Granite-Quincy-Geneva Dorchester,"['200 Columbia Rd, Dorchester, MA 02121, United States']"
372,Granite-Walnut Washington,Roxbury,2119,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,,Y,Granite-Walnut Washington Roxbury,"['3230 Washington St, Boston, MA 02130, United States']"
373,Granite-Washington Columbia I,Dorchester,2121,326,326,0,0.0,0.0,0.0,326,326,0.0,Rental,Private,,Y,Granite-Washington Columbia I Dorchester,"['173 Columbia Rd #173, Dorchester, MA 02121, United States']"
374,Grant Manor Apartments,Roxbury,2118,179,179,0,0.0,0.0,0.0,179,179,0.0,Rental,Private,,Y,Grant Manor Apartments Roxbury,"['1810 Washington St, Boston, MA 02118, United States']"
375,Green (VUP),Dorchester,2121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Green (VUP) Dorchester,"['35 Westville St, Boston, MA 02124, United States']"
376,Green (VUP) CDFI,Dorchester,2121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Green (VUP) CDFI Dorchester,"['594 Columbia Rd, Boston, MA 02125, United States']"
377,Greenway Apartments,East Boston,2128,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,,Greenway Apartments East Boston,"['172 Maverick St, Boston, MA 02128, United States']"
378,Grove Hall Apts,Dorchester,2121,104,104,0,0.0,0.0,0.0,104,104,0.0,Rental,Private,,Y,Grove Hall Apts Dorchester,"['12 Castlegate Rd #9, Dorchester, MA 02121, United States']"
379,Grubow (VUP),Mattapan,2126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Grubow (VUP) Mattapan,[]
380,Guaetta (VUP),East Boston,2128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Guaetta (VUP) East Boston,"['10 Gove St, Boston, MA 02128, United States']"
381,Habitat Arrowhead Site (REMS Land),Dorchester,2121,19,0,19,0.0,0.0,0.0,19,0,19.0,Ownership,Private,,,Habitat Arrowhead Site (REMS Land) Dorchester,[]
382,Habitat Balina Pl,Dorchester,2124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,Habitat Balina Pl Dorchester,"['434 Massachusetts Ave Suite 201, Boston, MA 02118, United States']"
383,Habitat Bradeen St,Roslindale,2131,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,Habitat Bradeen St Roslindale,"['1580 VFW Pkwy, West Roxbury, MA 02132, United States']"
384,Habitat Fairland St,Roxbury,2119,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,Habitat Fairland St Roxbury,"['1580 VFW Pkwy, West Roxbury, MA 02132, United States']"
385,Habitat Regent Street,Roxbury,2119,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,Habitat Regent Street Roxbury,"['1580 VFW Pkwy, West Roxbury, MA 02132, United States']"
386,Habitat Woodbine St,Roxbury,2119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Habitat Woodbine St Roxbury,"['1580 VFW Pkwy, West Roxbury, MA 02132, United States']"
387,Habitat-Woodville Street,Roxbury,2119,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,Habitat-Woodville Street Roxbury,"['1580 VFW Pkwy, West Roxbury, MA 02132, United States', '434 Massachusetts Ave Suite 201, Boston, MA 02118, United States']"
388,Hale House,Back Bay,2116,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,Y,,Hale House Back Bay,"['273 Clarendon St, Boston, MA 02116, United States']"
389,Haley House,South End,2118,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,Y,Haley House South End,"['23 Dartmouth St, Boston, MA 02116, United States']"
390,Hamilton St Studios/Pine Street,Dorchester,2125,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,?,,Hamilton St Studios/Pine Street Dorchester,"['314R Bowdoin St, Dorchester, MA 02122, United States']"
391,Hammond Street,Roxbury,2120,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,Hammond Street Roxbury,"['Hammond St, Boston, MA 02120, USA']"
392,Hampton House (2-44B),Roxbury,2118,78,78,0,0.0,0.0,0.0,78,78,0.0,Rental,Public,Y,,Hampton House (2-44B) Roxbury,"['155 Northampton St, Boston, MA 02118, United States']"
393,Hano Homes II,Allston,2134,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,,Hano Homes II Allston,"['1106B Commonwealth Ave, Boston, MA 02215, United States']"
394,Haraska (VUP),Dorchester,2122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Haraska (VUP) Dorchester,[]
395,Harbor Point,Dorchester,2125,350,350,0,0.0,0.0,0.0,350,350,0.0,Rental,Private,Y,Y,Harbor Point Dorchester,"['Harbor Point Blvd, Boston, MA 02125, USA']"
396,Harborview Condominiums,South Boston,2127,25,0,25,23.0,0.0,23.0,2,0,2.0,Ownership,Private,,,Harborview Condominiums South Boston,"['10 Orleans St, East Boston, MA 02128, United States']"
397,Hargrove (VUP),Roxbury,2119,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,Hargrove (VUP) Roxbury,"['Boston, MA 02215, United States']"
398,Harrison Commons,South End,2118,196,9,187,186.0,0.0,186.0,10,9,1.0,Ownership/Rental,Private,,,Harrison Commons South End,"['Harrison Ave, Boston, MA, USA']"
399,Harrison-Albany Block Building A,South End,2118,299,299,0,269.0,269.0,0.0,30,30,0.0,Rental,Private,,,Harrison-Albany Block Building A South End,"['300 Harrison Ave, Boston, MA 02118, United States']"
400,Hartford Manor,Roxbury,2125,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,Hartford Manor Roxbury,"['53 Hartford St, Boston, MA 02125, United States']"
401,Hartwell Terrace,Roxbury,2121,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,Y,Y,Hartwell Terrace Roxbury,"['Hartwell St, Boston, MA 02121, USA']"
402,Harvard Commons Coop,Dorchester,2124,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,,Harvard Commons Coop Dorchester,"['6 Snowden Way, Boston, MA 02124, United States', '355-469 Harvard St, Boston, MA 02124, United States']"
403,Hassan Apts (2-62),Hyde Park,2136,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Public,Y,,Hassan Apts (2-62) Hyde Park,[]
404,Hazel Parks,Dorchester,2124,48,0,48,0.0,0.0,0.0,48,0,48.0,Ownership,Private,,,Hazel Parks Dorchester,"['3 Hazel St, Waltham, MA 02451, United States']"
405,Hearth at 4-Corners,Dorchester,2121,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Private,,,Hearth at 4-Corners Dorchester,"['16 Ronald St, Boston, MA 02121, United States']"
406,Hearth at Olmsted Green,Dorchester,2124,59,59,0,0.0,0.0,0.0,59,59,0.0,Rental,Private,,,Hearth at Olmsted Green Dorchester,"['Hummingbird Ln, Boston, MA 02126, United States']"
407,Hemenway Apartments,Fenway,2115,183,183,0,0.0,0.0,0.0,183,183,0.0,Rental,Private,Y,Y,Hemenway Apartments Fenway,"['25 Hemenway St, Boston, MA 02115, United States']"
408,Heritage Apts (2-52),East Boston,2128,296,296,0,0.0,0.0,0.0,296,296,0.0,Rental,Public,Y,Y,Heritage Apts (2-52) East Boston,"['209 Sumner St, Boston, MA 02128, United States']"
409,Heritage at Cleveland Circle,Brighton,2135,90,90,0,0.0,0.0,0.0,90,90,0.0,Rental,Private,Y,,Heritage at Cleveland Circle Brighton,"['20 Chestnut Hill Ave, Boston, MA 02135, United States']"
410,Hiawatha|Mattapan Neighborhood Homes,Mattapan,2126,8,2,6,2.0,1.0,1.0,6,1,5.0,Ownership,Private,,,Hiawatha|Mattapan Neighborhood Homes Mattapan,"['1624 Blue Hill Avenue, Mattapan, MA 02126, United States']"
411,Highland Homes at Fort Hill - Home Again,Roxbury,2119,18,0,18,4.0,0.0,4.0,14,0,14.0,Ownership,Private,,,Highland Homes at Fort Hill - Home Again Roxbury,"['1 Highland St, Roxbury, MA 02119, United States']"
412,Highland House,Roxbury,2119,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,Highland House Roxbury,"['500 Harrison Ave Suite 2F, Boston, MA 02118, United States']"
413,Highland Park (2-89B),Roxbury,2119,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Public,,,Highland Park (2-89B) Roxbury,"['2 Highland Park Ave, Boston, MA 02119, USA']"
414,Highland Park Estates - Home Again,Roxbury,2119,6,1,5,0.0,0.0,0.0,6,1,5.0,Ownership/Rental,Private,,,Highland Park Estates - Home Again Roxbury,"['18 Arlington St, Boston, MA 02116, United States']"
415,Highland Park II (Affordable),Roxbury,2119,11,1,10,3.0,0.0,3.0,8,1,7.0,Ownership/Rental,Private,,,Highland Park II (Affordable) Roxbury,"['1 Highland St, Roxbury, MA 02119, United States']"
416,Hillside Homes at Franklin Park,Jamaica Plain,2130,12,0,12,10.0,0.0,10.0,2,0,2.0,Ownership,Private,,,Hillside Homes at Franklin Park Jamaica Plain,"['131 Morton St, Jamaica Plain, MA 02130, United States']"
417,Historic South End Apartments,South End,2116,146,146,0,0.0,0.0,0.0,146,146,0.0,Rental,Private,,Y,Historic South End Apartments South End,"['792 Tremont St #1051, Boston, MA 02118, United States']"
418,Hoffman (VUP) CDFI,Dorchester,2124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Hoffman (VUP) CDFI Dorchester,"['The Schrafft Center, 529 Main St #201, Charlestown, MA 02129, United States']"
